date,game_id,player_id,player_name,team,opponent,side,batting_order,position,prior_games,days_rest,projected_hits,projected_total_bases
2026-07-10,822709,691176,Jasson Domínguez,New York Yankees,Washington Nationals,away,6,RF,33.0,1.0,0.859,1.321
2026-07-10,823604,676724,Jared Young,New York Mets,Boston Red Sox,home,6,1B,49.0,1.0,0.823,1.312
2026-07-10,822878,694497,Evan Carter,Texas Rangers,Houston Astros,home,7,CF,75.0,1.0,0.7,1.312
2026-07-10,824493,668715,Spencer Steer,Cincinnati Reds,Chicago Cubs,home,3,RF,88.0,1.0,0.777,1.311
2026-07-10,823033,691023,Jordan Walker,St. Louis Cardinals,Atlanta Braves,home,3,RF,90.0,1.0,0.878,1.306
2026-07-10,823927,666971,Lourdes Gurriel Jr.,Arizona Diamondbacks,Los Angeles Dodgers,away,5,LF,44.0,1.0,0.788,1.303
2026-07-10,823200,694249,Cole Carrigg,Colorado Rockies,San Francisco Giants,away,3,CF,28.0,1.0,0.801,1.297
2026-07-10,822878,543309,Kyle Higashioka,Texas Rangers,Houston Astros,home,9,C,51.0,1.0,0.746,1.297
2026-07-10,824252,687282,Gabriel Rincones Jr.,Philadelphia Phillies,Detroit Tigers,away,7,RF,19.0,1.0,0.757,1.296
2026-07-10,824493,670770,TJ Friedl,Cincinnati Reds,Chicago Cubs,home,7,CF,57.0,1.0,0.753,1.291
2026-07-10,824252,663837,Matt Vierling,Detroit Tigers,Philadelphia Phillies,home,5,RF,78.0,1.0,0.784,1.288
2026-07-10,822955,680700,Richie Palacios,Tampa Bay Rays,Seattle Mariners,home,8,2B,67.0,1.0,0.811,1.285
2026-07-10,824493,695490,Edwin Arroyo,Cincinnati Reds,Chicago Cubs,home,8,2B,30.0,1.0,0.786,1.284
2026-07-10,823033,642201,Eli White,Atlanta Braves,St. Louis Cardinals,away,6,RF,53.0,5.0,0.763,1.273
2026-07-10,823927,500743,Miguel Rojas,Los Angeles Dodgers,Arizona Diamondbacks,home,8,2B,61.0,3.0,0.736,1.269
2026-07-10,823604,680776,Jarren Duran,Boston Red Sox,New York Mets,away,7,LF,84.0,1.0,0.753,1.265
2026-07-10,824575,643446,Jeff McNeil,Athletics,Chicago White Sox,away,9,2B,83.0,1.0,0.804,1.261
2026-07-10,823845,656555,Rhys Hoskins,Cleveland Guardians,Miami Marlins,away,5,DH,75.0,2.0,0.684,1.25
2026-07-10,823685,680777,Ryan Jeffers,Minnesota Twins,Los Angeles Angels,home,2,C,37.0,14.0,0.815,1.249
2026-07-10,823033,663457,Lars Nootbaar,St. Louis Cardinals,Atlanta Braves,home,4,LF,29.0,1.0,0.78,1.235
2026-07-10,823845,595978,Austin Hedges,Cleveland Guardians,Miami Marlins,away,8,C,46.0,2.0,0.764,1.228
2026-07-10,823033,642086,Dominic Smith,Atlanta Braves,St. Louis Cardinals,away,8,DH,76.0,1.0,0.695,1.224
2026-07-10,822955,670042,Luke Raley,Seattle Mariners,Tampa Bay Rays,away,6,RF,80.0,1.0,0.741,1.223
2026-07-10,823845,680757,Steven Kwan,Cleveland Guardians,Miami Marlins,away,9,LF,86.0,1.0,0.73,1.212
2026-07-10,823200,687859,Troy Johnston,Colorado Rockies,San Francisco Giants,away,9,1B,84.0,2.0,0.69,1.212
2026-07-10,824575,687515,Colby Thomas,Athletics,Chicago White Sox,away,3,LF,44.0,1.0,0.751,1.206
2026-07-10,823033,691458,Blaze Jordan,St. Louis Cardinals,Atlanta Braves,home,8,3B,21.0,2.0,0.79,1.202
2026-07-10,822709,669224,Austin Wells,New York Yankees,Washington Nationals,away,9,C,63.0,1.0,0.744,1.192
2026-07-10,823033,622761,Jorge Mateo,Atlanta Braves,St. Louis Cardinals,away,9,SS,59.0,2.0,0.696,1.189
2026-07-10,823927,545121,Ildemaro Vargas,Arizona Diamondbacks,Los Angeles Dodgers,away,6,2B,80.0,1.0,0.752,1.186
2026-07-10,823200,671289,Tyler Freeman,Colorado Rockies,San Francisco Giants,away,6,RF,64.0,1.0,0.792,1.18
2026-07-10,823845,700932,Kyle Manzardo,Cleveland Guardians,Miami Marlins,away,4,1B,84.0,1.0,0.692,1.177
2026-07-10,823604,691907,Tsung-Che Cheng,Boston Red Sox,New York Mets,away,9,SS,7.0,2.0,0.736,1.173
2026-07-10,824252,668670,Jake Rogers,Detroit Tigers,Philadelphia Phillies,home,9,C,29.0,1.0,0.727,1.166
2026-07-10,824817,686681,Michael Massey,Kansas City Royals,Baltimore Orioles,away,5,2B,74.0,2.0,0.737,1.165
2026-07-10,822878,553869,Elias Díaz,Texas Rangers,Houston Astros,home,1,DH,35.0,1.0,0.756,1.161
